"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000043085",23.0258674315969,14.3240052850748,3.65366164436362,3.92045205038948,8.83830210932965e-05,0.0155636718078495
"ENSDARG00000095830",54.1763103731859,11.5450543028831,2.8392820561665,4.06618788640916,4.77884130734039e-05,0.0112553659891135
"ENSDARG00000039116",74.6165101450962,11.4591981971284,2.59950577134434,4.40822187180691,1.04222748498404e-05,0.00392753005441385
"ENSDARG00000043279",53.4218203446566,10.9714318921594,2.44029607426935,4.49594293407383,6.9262312095072e-06,0.00316130299116455
"ENSDARG00000086623",31.9503457403384,10.6720649508762,2.71404934188869,3.93215583304376,8.41874604607874e-05,0.0153005302640311
"ENSDARG00000092714",33.187882889551,10.342064237092,3.02080966691182,3.42360670729207,0.00061795984988654,0.0463888425958653
"ENSDARG00000056395",483.847903711556,10.3099475456824,1.96303710467276,5.25203905781552,1.50424552927502e-07,0.000216517902170023
"ENSDARG00000054025",195.079001871107,10.2695970437957,2.35606981713413,4.35878299068717,1.30787721832155e-05,0.00473904279761819
"ENSDARG00000054036",35.9621650184415,10.2428297906836,2.72181846501589,3.76323032646626,0.000167732585893773,0.0225744098815033
"ENSDARG00000002311",2232.22375316538,10.1804932949494,2.0334198746971,5.00658689414348,5.5403656485461e-07,0.00050472756760403
"ENSDARG00000092045",26.5444886488561,10.0268692924123,2.96304632747286,3.38397317633711,0.000714449826894705,0.0509911501452653
"ENSDARG00000086720",57.9318759187777,9.96283516010285,2.02082027463991,4.93009461807688,8.218979955079e-07,0.000662679384200797
"ENSDARG00000095475",14.8985758318192,9.82355389577207,3.95769568931588,2.48213977701508,0.0130596036055904,0.231001194224111
"ENSDARG00000058390",20.6887463964622,9.80310880829444,3.3403348709717,2.93476827532646,0.0033379686317498,0.122361877352976
"ENSDARG00000075501",18.9522077675145,9.79875946663702,3.20744031794991,3.05500913354487,0.00225053668308389,0.0969668290048475
"ENSDARG00000088764",1282.52967403461,9.76551758759022,2.07658897581465,4.70267236382645,2.56778287921912e-06,0.00156071500033054
"ENSDARG00000095665",125.483520292482,9.64436703892767,2.31498781727778,4.16605520208248,3.09915687764566e-05,0.0087155692371044
"ENSDARG00000069193",58.8017169258235,9.59916114296326,2.71896398675614,3.53044806393907,0.000414856454471406,0.0380476949243813
"ENSDARG00000056464",1781.94119774012,9.57915723226854,1.83686214311115,5.21495707677008,1.83859804411441e-07,0.000216517902170023
"ENSDARG00000025386",12.789761288965,9.49069660270324,4.05296384021648,2.34166821537601,0.0191977726154385,0.277608926799764
"ENSDARG00000058762",21.0092446867178,9.38097661784395,3.00420431258865,3.12261605461867,0.00179251418945995,0.0833939564390232
"ENSDARG00000094510",124.730667502898,9.34612079071771,1.788079261369,5.22690520081424,1.72370820068158e-07,0.000216517902170023
"ENSDARG00000038185",93.390293582674,9.33393194493918,5.35442707492392,1.74321768031023,0.0812955982544133,0.511707277792779
"ENSDARG00000076569",21.0169522072681,9.33390702990072,2.78658064888407,3.34959156256204,0.000809308019824794,0.0553699409120109
"ENSDARG00000053774",33.7457290276482,9.31102194383097,2.53492263064915,3.6730990647421,0.000239626530663286,0.0276996508635437
"ENSDARG00000026651",359.03074151603,9.21868652338316,1.35546092790215,6.80114515558258,1.03790777379681e-11,9.7781291369397e-08
"ENSDARG00000075227",3727.45491097236,9.1896941266822,1.86597027137774,4.92488774748646,8.44087953551594e-07,0.000662679384200797
"ENSDARG00000076656",17.6623891145399,9.17621564309833,2.81558600328842,3.25907844135506,0.00111774758449507,0.0650018518119019
"ENSDARG00000093597",16.6298784398676,9.1751011012551,3.44585286785617,2.66265027936709,0.00775279424987478,0.180771542941764
"ENSDARG00000094888",78.8131262487636,9.15817651791498,2.27852279787524,4.01934820509811,5.83593669541634e-05,0.0123950618337551
"ENSDARG00000074164",18.8017210707005,9.12651905043708,2.81749537561979,3.2392312439659,0.00119852359234907,0.0672100640685747
"ENSDARG00000014479",17.5288379981063,9.0841868893952,3.46320960498527,2.62305431248475,0.00871453791883453,0.190777689290285
"ENSDARG00000096240",30.2372042404113,8.99011669212339,2.14169994827676,4.19765462447574,2.69693512953385e-05,0.00781779257087336
"ENSDARG00000096113",32.1800165529475,8.96542006962438,2.00906615886589,4.46248125282511,8.10160185468901e-06,0.0033184865683924
"ENSDARG00000094396",10.0274901906015,8.88425889696288,3.80027637925098,2.33779283671835,0.0193979973953764,NA
"ENSDARG00000069830",17.6868383680112,8.88097239797626,2.95899139153384,3.00135121156018,0.0026878435791555,0.106172638822742
"ENSDARG00000079266",15251.5275178506,8.85101395535637,2.0349514128492,4.34949645454373,1.36450489792882e-05,0.00485094363901411
"ENSDARG00000074093",14.5316233095729,8.84366666894283,2.93758688808952,3.01052088188423,0.0026080001441951,0.104331080078395
"ENSDARG00000088641",26.616158726584,8.78045665529867,2.61936421093494,3.35213278804197,0.00080191545710706,0.0553468536366712
"ENSDARG00000086056",17.9993360637253,8.7389270118124,3.03998364055029,2.87466251306224,0.00404459563964715,0.134643588413837
"ENSDARG00000062942",15.2047165180439,8.66365094361348,2.92925735473158,2.95762710286251,0.00310016908393384,0.116826771758963
"ENSDARG00000088842",75.0157676228348,8.6422977460689,1.87504858629918,4.609106030221,4.04404065634691e-06,0.00217708040133967
"ENSDARG00000094612",17.4723866480022,8.6293175546628,2.93099326496706,2.94416150927586,0.00323830959513182,0.120585433579988
"ENSDARG00000054160",10.1926481702952,8.61113327839311,3.71099145660242,2.32044007082597,0.0203170833276747,NA
"ENSDARG00000086374",12.5440010883975,8.5528938326238,3.59493638411208,2.37915025991101,0.0173526009066514,0.262924287427619
"ENSDARG00000043032",9.90736301194816,8.54270713614074,4.23784471986652,2.01581409910881,0.043819418685511,NA
"ENSDARG00000003977",62.3885847923266,8.48297972030843,2.51205162952554,3.37691296651839,0.000733042408711441,0.0515372577050036
"ENSDARG00000068657",13.127616195998,8.46365933111268,3.4921363050568,2.42363372782925,0.0153660946597074,0.24894923093569
"ENSDARG00000088345",10.7903235685197,8.43182859550246,3.18338572741433,2.6486983725818,0.00808024122670474,NA
"ENSDARG00000070541",7.36625009110853,8.32544948035701,4.48810838292919,1.85500187830209,0.0635959583544291,NA
